name,pc1,pc2,pc3
C.J. Miles,-4.853203101,-2.065413476,-2.025011186
Sasha Vujacic,-10.51568433,-2.744427688,-11.70391581
Brandon Jennings,6.658838131,-20.22310118,3.550153732
Lance Thomas,-18.38924652,5.040464263,-1.373561144
Courtney Lee,-2.894156519,2.331692476,-6.502934059
Joakim Noah,9.58878193,8.691711194,-0.506781173
Justin Holiday,-21.11238448,-5.234665736,-5.620930568
Kyle O'Quinn,-14.78847095,1.206715328,4.027292964
Carmelo Anthony,54.53752442,3.049299953,11.0635247
Derrick Rose,14.3659917,-20.02702907,15.48731164
James Johnson,-14.43690898,-1.956601263,2.269406199
Udonis Haslem,3.648749037,14.40826671,-3.358035568
Derrick Williams,-9.693015821,4.378635446,2.794437467
Wayne Ellington,-13.75877204,-1.469613692,-5.705211953
Hassan Whiteside,-5.363398789,16.09836089,13.34148077
Luke Babbitt,-17.67532054,0.710023403,-10.19847772
Goran Dragic,15.1777964,-11.45212686,-2.269612126
Josh McRoberts,-8.445233681,0.132024489,-8.501075018
Chris Bosh,54.40730894,15.9651374,0.508154913
Marcus Thornton,0.623257143,-1.187492765,0.755419375
Bradley Beal,-5.42132651,-9.851992384,7.710835664
Jason Smith,-14.13219142,3.199514547,4.983427186
Andrew Nicholson,-17.03667551,2.682144528,5.112912826
Ian Mahinmi,-13.79716766,12.23332393,-0.441691336
Otto Porter,-13.24319441,4.002798875,-4.080216767
John Wall,11.27325961,-29.11470002,11.76889971
Markieff Morris,-9.346699763,-2.119403346,8.876129006
Marcin Gortat,8.888563377,15.10252453,2.374470765
Trey Burke,-7.888233571,-19.02246106,3.314305193
Sergio Rodriguez,-12.72419498,-23.58438082,-3.815823915
Gerald Henderson,-5.96249426,-3.835674956,6.845705228
Robert Covington,-14.78062675,-5.987193617,-2.312879783
Nik Stauskas,-19.61152003,-4.989028845,-8.364435756
Hollis Thompson,-15.82806432,0.919244904,-8.492108049
Nerlens Noel,-16.09631407,1.830264936,10.6050339
Ersan Ilyasova,2.457036642,6.832262386,-0.04683109
Brandon Bass,4.91118166,12.288393,0.905010423
Raymond Felton,3.842495994,-17.50242903,0.036009531
Marreese Speights,-4.445923616,6.934536105,11.93767564
Jamal Crawford,27.26565589,-5.970413434,-4.901991644
Luc Mbah a Moute,-15.87777469,7.22041057,-1.482902127
Wesley Johnson,-18.39778808,-2.297849214,-4.625209996
Austin Rivers,-16.80393739,-6.801610279,1.122822637
DeAndre Jordan,8.764005371,23.3355215,-3.988104969
Paul Pierce,-9.856712055,-3.024169187,-1.503081583
Chris Paul,99.19385544,-7.191983395,-20.25945281
J.J. Redick,15.96415798,1.722374491,-12.65456332
Blake Griffin,32.02317969,0.199325778,16.30370383
Ian Clark,-19.1387077,-6.616996923,-5.75322739
Anderson Varejao,3.280523325,15.3390752,-3.073646754
Zaza Pachulia,2.2480904,12.01863822,-0.202463484
David West,28.42870948,7.63931054,6.011747788
